command,syntax,purpose
touch,touch file_name,creates a new file
which,which program,find program file in path variable
echo,echo string,write string to console
read,read [variable],take input from console and store value in variable (optional)
ls,ls dir_name,list directory content
mkdir,mkdir dir_name,create new directory
pwd,pwd,print current directory
grep,grep pattern file,search for text
cd,cd target_dir,change directory to target_dir
mv,mv source target,move or rename file or directory from source to target
cp,cp [-r] source target,copy file or directory from source to target
rm,rm [-r] target,remove target file or directory
cat,cat file1 file2,read and concatenate files
man,man command,print command manual
sleep,sleep seconds,wait for specified time